"Notes"	"State"	"State Code"	"Year"	"Year Code"	Count	Percent of Total	Rate	Population
	"Alabama"	"01"	"2013"	"2013"	108	0.033%	2.234	4833722
	"Alabama"	"01"	"2012"	"2012"	134	0.040%	2.782	4817528
	"Alabama"	"01"	"2011"	"2011"	161	0.048%	3.353	4801627
	"Alabama"	"01"	"2010"	"2010"	146	0.044%	3.051	4785570
	"Alabama"	"01"	"2009"	"2009"	168	0.051%	3.531	4757938
	"Alabama"	"01"	"2008"	"2008"	176	0.053%	3.730	4718206
	"Alabama"	"01"	"2007"	"2007"	176	0.053%	3.766	4672840
	"Alabama"	"01"	"2006"	"2006"	196	0.059%	4.234	4628981
	"Alabama"	"01"	"2005"	"2005"	216	0.065%	4.727	4569805
	"Alabama"	"01"	"2004"	"2004"	211	0.064%	4.657	4530729
	"Alabama"	"01"	"2003"	"2003"	258	0.078%	5.729	4503491
	"Alabama"	"01"	"2002"	"2002"	233	0.070%	5.201	4480089
	"Alabama"	"01"	"2001"	"2001"	264	0.079%	5.909	4467634
	"Alabama"	"01"	"2000"	"2000"	310	0.093%	6.963	4452173
	"Alabama"	"01"	"1999"	"1999"	314	0.095%	7.088	4430141
	"Alabama"	"01"	"1998"	"1998"	381	0.115%	8.650	4404701
	"Alabama"	"01"	"1997"	"1997"	405	0.122%	9.272	4367935
	"Alabama"	"01"	"1996"	"1996"	423	0.127%	9.767	4331103
	"Alabama"	"01"	"1995"	"1995"	420	0.126%	9.775	4296800
	"Alabama"	"01"	"1994"	"1994"	433	0.130%	10.164	4260229
	"Alabama"	"01"	"1993"	"1993"	487	0.147%	11.556	4214202
	"Alaska"	"02"	"2013"	"2013"	71	0.021%	9.658	735132
	"Alaska"	"02"	"2012"	"2012"	66	0.020%	9.037	730307
	"Alaska"	"02"	"2011"	"2011"	67	0.020%	9.262	723375
	"Alaska"	"02"	"2010"	"2010"	57	0.017%	7.985	713868
	"Alaska"	"02"	"2009"	"2009"	37	0.011%	5.294	698895
	"Alaska"	"02"	"2008"	"2008"	50	0.015%	7.273	687455
	"Alaska"	"02"	"2007"	"2007"	50	0.015%	7.350	680300
	"Alaska"	"02"	"2006"	"2006"	70	0.021%	10.366	675302
	"Alaska"	"02"	"2005"	"2005"	59	0.018%	8.846	666946
	"Alaska"	"02"	"2004"	"2004"	43	0.013%	6.522	659286
	"Alaska"	"02"	"2003"	"2003"	57	0.017%	8.791	648414
	"Alaska"	"02"	"2002"	"2002"	49	0.015%	7.628	642337
	"Alaska"	"02"	"2001"	"2001"	54	0.016%	8.521	633714
	"Alaska"	"02"	"2000"	"2000"	108	0.033%	17.198	627963
	"Alaska"	"02"	"1999"	"1999"	61	0.018%	9.763	624779
	"Alaska"	"02"	"1998"	"1998"	55	0.017%	8.872	619933
	"Alaska"	"02"	"1997"	"1997"	78	0.023%	12.725	612968
	"Alaska"	"02"	"1996"	"1996"	97	0.029%	15.939	608569
	"Alaska"	"02"	"1995"	"1995"	82	0.025%	13.567	604412
	"Alaska"	"02"	"1994"	"1994"	92	0.028%	15.249	603308
	"Alaska"	"02"	"1993"	"1993"	57	0.017%	9.509	599434
	"Arizona"	"04"	"2013"	"2013"	184	0.055%	2.777	6626624
	"Arizona"	"04"	"2012"	"2012"	211	0.064%	3.221	6551149
	"Arizona"	"04"	"2011"	"2011"	255	0.077%	3.942	6468796
	"Arizona"	"04"	"2010"	"2010"	282	0.085%	4.400	6408790
	"Arizona"	"04"	"2009"	"2009"	232	0.070%	3.657	6343154
	"Arizona"	"04"	"2008"	"2008"	227	0.068%	3.614	6280362
	"Arizona"	"04"	"2007"	"2007"	302	0.091%	4.896	6167681
	"Arizona"	"04"	"2006"	"2006"	313	0.094%	5.191	6029141
	"Arizona"	"04"	"2005"	"2005"	281	0.085%	4.812	5839077
	"Arizona"	"04"	"2004"	"2004"	272	0.082%	4.812	5652404
	"Arizona"	"04"	"2003"	"2003"	295	0.089%	5.354	5510364
	"Arizona"	"04"	"2002"	"2002"	263	0.079%	4.874	5396255
	"Arizona"	"04"	"2001"	"2001"	289	0.087%	5.480	5273477
	"Arizona"	"04"	"2000"	"2000"	261	0.079%	5.058	5160586
	"Arizona"	"04"	"1999"	"1999"	262	0.079%	5.215	5023823
	"Arizona"	"04"	"1998"	"1998"	254	0.076%	5.201	4883342
	"Arizona"	"04"	"1997"	"1997"	296	0.089%	6.249	4736990
	"Arizona"	"04"	"1996"	"1996"	282	0.085%	6.148	4586940
	"Arizona"	"04"	"1995"	"1995"	317	0.095%	7.152	4432499
	"Arizona"	"04"	"1994"	"1994"	247	0.074%	5.818	4245089
	"Arizona"	"04"	"1993"	"1993"	228	0.069%	5.608	4065440
	"Arkansas"	"05"	"2013"	"2013"	72	0.022%	2.433	2959373
	"Arkansas"	"05"	"2012"	"2012"	70	0.021%	2.373	2949828
	"Arkansas"	"05"	"2011"	"2011"	85	0.026%	2.893	2938506
	"Arkansas"	"05"	"2010"	"2010"	78	0.023%	2.669	2922280
	"Arkansas"	"05"	"2009"	"2009"	82	0.025%	2.831	2896843
	"Arkansas"	"05"	"2008"	"2008"	83	0.025%	2.887	2874554
	"Arkansas"	"05"	"2007"	"2007"	106	0.032%	3.721	2848650
	"Arkansas"	"05"	"2006"	"2006"	102	0.031%	3.615	2821761
	"Arkansas"	"05"	"2005"	"2005"	117	0.035%	4.207	2781097
	"Arkansas"	"05"	"2004"	"2004"	134	0.040%	4.873	2749686
	"Arkansas"	"05"	"2003"	"2003"	128	0.039%	4.698	2724816
	"Arkansas"	"05"	"2002"	"2002"	136	0.041%	5.026	2705927
	"Arkansas"	"05"	"2001"	"2001"	162	0.049%	6.019	2691571
